method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E0_daily_seasonal_persistence,MMSP_published_series,31,4,post,0.07139398157596588,0.14701780676841736,726.7907104492188,220.03292846679688,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,31,24,raw,0.07106900960206985,0.14682452380657196,4340.89501953125,1316.7286376953125,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,31,24,post,0.07122426480054855,0.14682437479496002,4350.3779296875,1316.725830078125,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,1,raw,0.05649460852146149,0.11197219789028168,143.77877807617188,31.908632278442383,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,1,post,0.05665925145149231,0.11197274178266525,144.1977996826172,31.90894317626953,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,4,raw,0.05649460107088089,0.11197219789028168,575.1150512695312,127.63453674316406,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,4,post,0.05665922909975052,0.11197274178266525,576.7909545898438,127.63577270507812,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,24,raw,0.05641047656536102,0.11190713196992874,3445.552001953125,764.91748046875,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,31,24,post,0.05657532066106796,0.11190768331289291,3455.62060546875,764.9249267578125,61080,2545
E1_original_chronos2,MMSP_published_series,31,1,raw,0.034849729388952255,0.0702783465385437,88.69256591796875,12.569872856140137,2545,2545
E1_original_chronos2,MMSP_published_series,31,1,post,0.034853287041187286,0.07027833163738251,88.70161437988281,12.569868087768555,2545,2545
E1_original_chronos2,MMSP_published_series,31,4,raw,0.04399802163243294,0.09033340960741043,447.89984130859375,83.07007598876953,10180,2545
E1_original_chronos2,MMSP_published_series,31,4,post,0.0439998023211956,0.09033340960741043,447.9179992675781,83.070068359375,10180,2545
E1_original_chronos2,MMSP_published_series,31,24,raw,0.055137164890766144,0.11299608647823334,3367.778076171875,779.87646484375,61080,2545
E1_original_chronos2,MMSP_published_series,31,24,post,0.055139049887657166,0.11299609392881393,3367.89306640625,779.8765869140625,61080,2545
E0_last_value,MMSP_published_series,32,1,raw,0.05782046169042587,0.09609653055667877,147.153076171875,23.501911163330078,2545,2545
